customer_id,name,city,state,signup_date,completed_orders,lifetime_revenue,avg_order_value,first_order_date,last_order_date,days_since_last_order,buyer_type
21,Neha Banerjee,Bhubaneswar,Odisha,2023-10-09,39,491307.43,12597.63,2024-01-07,2026-07-28,38,REPEAT
42,Yash Verma,Kolkata,West Bengal,2023-10-01,52,418509.12,8048.25,2024-04-09,2026-08-07,28,REPEAT
84,Parth Kapoor,Kochi,Kerala,2023-12-26,19,382290.79,20120.57,2024-01-09,2026-07-12,54,REPEAT
40,Vidya Desai,Gurugram,Haryana,2023-10-12,36,365758.09,10159.95,2024-02-15,2026-08-18,17,REPEAT
68,Dhruv Verma,Delhi,Delhi,2023-10-29,40,341352.65,8533.82,2024-01-03,2026-08-08,27,REPEAT
105,Karthik Patel,Lucknow,Uttar Pradesh,2023-07-09,37,330916.38,8943.69,2024-01-03,2026-07-16,50,REPEAT
98,Uday Joshi,Lucknow,Uttar Pradesh,2023-09-20,32,317125.74,9910.18,2024-01-11,2026-07-06,60,REPEAT
92,Sanjana Verma,Kochi,Kerala,2023-11-12,21,271282.33,12918.21,2024-02-26,2026-08-08,27,REPEAT
46,Nandini Verma,Chandigarh,Chandigarh,2023-06-30,29,271094.53,9348.09,2024-02-25,2026-08-03,32,REPEAT
44,Ayesha Shah,Mumbai,Maharashtra,2023-12-30,34,257486.05,7573.12,2024-03-06,2026-07-17,49,REPEAT
76,Kiran Bhat,Surat,Gujarat,2023-12-20,21,249744.14,11892.58,2024-01-24,2026-06-27,69,REPEAT
93,Shreya Gupta,Jaipur,Rajasthan,2023-12-08,18,249314.15,13850.79,2024-02-25,2026-06-14,82,REPEAT
32,Sanjana Banerjee,Chennai,Tamil Nadu,2023-07-17,35,232451.61,6641.47,2024-03-04,2026-08-11,24,REPEAT
4,Arjun Joshi,Chandigarh,Chandigarh,2024-05-15,29,188076.1,6485.38,2024-06-26,2026-07-19,47,REPEAT
112,Aisha Ghosh,Chandigarh,Chandigarh,2023-09-08,19,177948.23,9365.7,2024-01-21,2026-08-16,19,REPEAT
20,Naveen Bhat,Jaipur,Rajasthan,2023-12-31,27,176261.77,6528.21,2024-01-23,2026-08-07,28,REPEAT
59,Madhu Chauhan,Noida,Uttar Pradesh,2023-06-06,20,166389.22,8319.46,2024-03-17,2026-08-31,4,REPEAT
39,Varun Kapoor,Bengaluru,Karnataka,2023-12-30,18,158652.89,8814.05,2024-04-20,2026-08-09,26,REPEAT
58,Kunal Iyer,Bengaluru,Karnataka,2023-09-08,18,157352.47,8741.8,2024-03-07,2026-05-04,123,REPEAT
55,Girish Iyer,Lucknow,Uttar Pradesh,2023-09-02,15,155399.98,10360.0,2024-03-07,2026-07-05,61,REPEAT
